sentimen,tweet,tweet_lowercase,tweet_tokenized,tweet_stemmed,tweet_process
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ","#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ","['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih', 'Pilih', 'pemimpin', 'itu', 'yg', 'udh', 'jelas', 'banyak', 'pencapaiannya', '.', 'Nah', ',', 'ini', 'dia', '5', 'pencapaian', 'ekonomi', 'selama', 'pemerintahan', 'Jokowi', '.', 'Coblos', '01', 'Yuk', 'Kerja', 'Pasti', '!', 'https://bit.ly/2OgymxtÂ']","['pilihorangbaik', 'pilihjelasislamnya', 'pilihbajuputih', 'pilih', 'pimpin', 'itu', 'yg', 'udh', 'jelas', 'banyak', 'capai', '', 'nah', '', 'ini', 'dia', '5', 'capai', 'ekonomi', 'lama', 'perintah', 'jokowi', '', 'coblos', '01', 'yuk', 'kerja', 'pasti', '', 'https bit ly 2ogymxt']",pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pimpin itu yg udh jelas banyak capai  nah  ini dia  capai ekonomi lama perintah jokowi  coblos  yuk kerja pasti   bit ly ogymxt
positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv","Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv","['Calon', 'presiden', 'Jokowi', 'menjelaskan', 'program', 'Kartu', 'Pra', 'Kerja', 'akan', 'memberikan', 'insentif', 'dalam', 'kurun', 'waktu', 'tertentu', ',', 'bukan', 'berarti', 'memberikan', 'gaji', 'secara', 'cuma-cuma', 'bagi', 'masyarakat', 'yang', 'belum', 'berpenghasilan', '.', '#2019JokowiKyaiMaruf', 'pic.twitter.com/Nj2hhmiIzv']","['calon', 'presiden', 'jokowi', 'jelas', 'program', 'kartu', 'pra', 'kerja', 'akan', 'beri', 'insentif', 'dalam', 'kurun', 'waktu', 'tentu', '', 'bukan', 'arti', 'beri', 'gaji', 'cara', 'cuma', 'bagi', 'masyarakat', 'yang', 'belum', 'hasil', '', '2019jokowikyaimaruf', 'pic twitter com nj2hhmiizv']",calon presiden jokowi jelas program kartu pra kerja akan beri insentif dalam kurun waktu tentu  bukan arti beri gaji cara cuma bagi masyarakat yang belum hasil  jokowikyaimaruf pic twitter com njhhmiizv
negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.","Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.","['Gak', 'nginti', 'Lu', 'to', '@yunartowijaya', ',', 'dan', 'si', '@AT_AbdillahToha', 'juga', 'gak', 'ngacaaa', ',', ',', 'Gak', 'usah', 'ngajarin', 'Sandi', 'soal', 'ekonomi', 'dibanding', 'Jokowi', '.']","['gak', 'nginti', 'lu', 'to', 'yunartowijaya', '', 'dan', 'si', 'at abdillahtoha', 'juga', 'gak', 'ngacaaa', '', '', 'gak', 'usah', 'ngajarin', 'sandi', 'soal', 'ekonomi', 'banding', 'jokowi', '']",gak nginti lu to yunartowijaya  dan si at abdillahtoha juga gak ngacaaa   gak usah ngajarin sandi soal ekonomi banding jokowi 
positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ","Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ","['Menurut', 'Jokowi', ',', 'pemerintah', 'selalu', 'berupaya', 'menjaga', 'keseimbangan', 'agar', 'harga', 'pada', 'posisi', 'normal', '.', 'Petani', 'sebagai', 'produsen', 'senang', 'karena', 'hasil', 'kerjanya', 'dihargai', 'secara', 'layak', '.', '#2019JokowiKyaiMaruf', '#RakyatInginJokowiMenang', 'https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1', 'pic.twitter.com/YZpyj7IhSoÂ']","['turut', 'jokowi', '', 'perintah', 'selalu', 'upaya', 'jaga', 'imbang', 'agar', 'harga', 'pada', 'posisi', 'normal', '', 'tani', 'bagai', 'produsen', 'senang', 'karena', 'hasil', 'kerja', 'harga', 'cara', 'layak', '', '2019jokowikyaimaruf', 'rakyatinginjokowimenang', 'https twitter com tag nusantara status 1061792783114022912 photo 1', 'pic twitter com yzpyj7ihso']",turut jokowi  perintah selalu upaya jaga imbang agar harga pada posisi normal  tani bagai produsen senang karena hasil kerja harga cara layak  jokowikyaimaruf rakyatinginjokowimenang  twitter com tag nusantara status  photo  pic twitter com yzpyjihso
netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,","Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,","['Terlalu', 'berat', 'nge', 'bahas', 'ekonomi', 'dgn', 'angka', '2', '..', 'Cukup', 'bahas', 'mobil', 'lejen', 'aj', ',']","['terlalu', 'berat', 'nge', 'bahas', 'ekonomi', 'dgn', 'angka', '2', '', 'cukup', 'bahas', 'mobil', 'lejen', 'aj', '']",terlalu berat nge bahas ekonomi dgn angka   cukup bahas mobil lejen aj 
netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘","mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘","['mantulz', 'sekali', 'pak', '..', 'mengisi', 'masa', 'tenang', 'dg', 'umroh', 'bersama', 'kel', 'tercinta', ',', 'istri', ',', 'anak', '2', '...', 'pada', 'ahirnya', 'memang', 'keluarga', 'lah', 'asset', 'plg', 'berharga', ',', 'sehat', 'sll', 'pakdeee', '...', 'ðŸ', '‘', '\x8d', 'ðŸ', '‘', '\x8d', 'ðŸ', '‘', '\x8d']","['mantulz', 'sekali', 'pak', '', 'isi', 'masa', 'tenang', 'dg', 'umroh', 'sama', 'kel', 'cinta', '', 'istri', '', 'anak', '2', '', 'pada', 'ahirnya', 'memang', 'keluarga', 'lah', 'asset', 'plg', 'harga', '', 'sehat', 'sll', 'pakdeee', '', '', '', '', '', '', '', '', '', '']",mantulz sekali pak  isi masa tenang dg umroh sama kel cinta  istri  anak   pada ahirnya memang keluarga lah asset plg harga  sehat sll pakdeee          
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,"['#PilihOrangBaik', '#PilihJelasIslamnya', '#PilihBajuPutih', 'Pentingnya', 'sisi', 'industri', 'kreatif', 'dan', 'inovatif', 'di', 'era', 'industri', 'global', '.', 'Membuat', 'jokowi', 'tergerak', 'untuk', 'mengubah', 'Badan', 'Ekonomi', 'Kreatif', '(', 'Bekraf', ')', 'menjadi', 'sebuah', 'kementerian', '.', 'Coblos', '01', 'Yuk', 'Kerja', 'Pasti', '!', 'pic.twitter.com/4VPqiGzAcq']","['pilihorangbaik', 'pilihjelasislamnya', 'pilihbajuputih', 'penting', 'sisi', 'industri', 'kreatif', 'dan', 'inovatif', 'di', 'era', 'industri', 'global', '', 'buat', 'jokowi', 'gerak', 'untuk', 'ubah', 'badan', 'ekonomi', 'kreatif', '', 'bekraf', '', 'jadi', 'buah', 'menteri', '', 'coblos', '01', 'yuk', 'kerja', 'pasti', '', 'pic twitter com 4vpqigzacq']",pilihorangbaik pilihjelasislamnya pilihbajuputih penting sisi industri kreatif dan inovatif di era industri global  buat jokowi gerak untuk ubah badan ekonomi kreatif  bekraf  jadi buah menteri  coblos  yuk kerja pasti  pic twitter com vpqigzacq
positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS","dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS","['dalam', '16', 'pakta', 'integritas', 'antara', 'Prabowo', 'sandi', 'dan', 'Ulama', 'yg', 'terlibat', 'dalam', 'ijtimak', 'ulama', 'sudah', 'sangat', 'jelas', 'bahwa', 'Pancasila', 'dan', 'NKRI', 'itu', 'adalah', 'harga', 'mati', ',', 'tidak', 'ada', 'itu', 'khilafah', ',', 'khilafah', 'hanyalah', 'bualan', 'para', 'makhluk', 'di', 'kolam', '#UASdifitnahKejiDanBrutal', '#UASdifitnahKejiBalasDiTPS']","['dalam', '16', 'pakta', 'integritas', 'antara', 'prabowo', 'sandi', 'dan', 'ulama', 'yg', 'libat', 'dalam', 'ijtimak', 'ulama', 'sudah', 'sangat', 'jelas', 'bahwa', 'pancasila', 'dan', 'nkri', 'itu', 'adalah', 'harga', 'mati', '', 'tidak', 'ada', 'itu', 'khilafah', '', 'khilafah', 'hanya', 'bual', 'para', 'makhluk', 'di', 'kolam', 'uasdifitnahkejidanbrutal', 'uasdifitnahkejibalasditps']",dalam  pakta integritas antara prabowo sandi dan ulama yg libat dalam ijtimak ulama sudah sangat jelas bahwa pancasila dan nkri itu adalah harga mati  tidak ada itu khilafah  khilafah hanya bual para makhluk di kolam uasdifitnahkejidanbrutal uasdifitnahkejibalasditps
netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­","Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­","['Saya', 'dengar', 'pak', ',', 'Mbak', 'Vidya', ',', 'dari', 'Curup', '.', 'Dulu', 'beli', 'lipstik', 'Purbasari', 'harga', '25', 'ribu', '.', 'Tapi', 'sekarang', 'beli', 'lipstik', 'NYX', 'gak', 'cukup', '25', 'ribu', 'ðŸ', '˜', '\xad']","['saya', 'dengar', 'pak', '', 'mbak', 'vidya', '', 'dari', 'curup', '', 'dulu', 'beli', 'lipstik', 'purbasari', 'harga', '25', 'ribu', '', 'tapi', 'sekarang', 'beli', 'lipstik', 'nyx', 'gak', 'cukup', '25', 'ribu', '', '', '']",saya dengar pak  mbak vidya  dari curup  dulu beli lipstik purbasari harga  ribu  tapi sekarang beli lipstik nyx gak cukup  ribu   
positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,"['Prabowo', 'Sejak', 'jadi', 'TNI', 'puluhan', 'tahun', 'nggak', 'dia', 'ambil', 'gajinya', 'serupiah', 'pun', '.', 'Sandi', 'sejak', 'jadi', 'Wagub', 'jg', 'demikian', '.', 'Susah', 'ya', 'cari', 'orang', 'seperti', 'mereka', '?', '?', 'Yang', 'gak', 'ambil', 'gaji', 'dari', 'hasil', 'mereka', 'kerja', 'untuk', 'negara', '!', '!', 'pic.twitter.com/UX372NjZnW']","['prabowo', 'sejak', 'jadi', 'tni', 'puluh', 'tahun', 'nggak', 'dia', 'ambil', 'gaji', 'rupiah', 'pun', '', 'sandi', 'sejak', 'jadi', 'wagub', 'jg', 'demikian', '', 'susah', 'ya', 'cari', 'orang', 'seperti', 'mereka', '', '', 'yang', 'gak', 'ambil', 'gaji', 'dari', 'hasil', 'mereka', 'kerja', 'untuk', 'negara', '', '', 'pic twitter com ux372njznw']",prabowo sejak jadi tni puluh tahun nggak dia ambil gaji rupiah pun  sandi sejak jadi wagub jg demikian  susah ya cari orang seperti mereka   yang gak ambil gaji dari hasil mereka kerja untuk negara   pic twitter com uxnjznw
