sentimen,tweet,tweet_tokenized,tweet_no_stopwords,tweet_stemmed,tweet_process
positif,saya selalu berdoa dalam hatiagar pak  mjd presiden risaat ini ekonomi buruk paksampai ponsel sy tutup krn ekonomi masyarakat carut marutdn ketika menjadi presiden nanti tolong perbaiki ekonomi masyarakat pakwslm  dihati,"['saya', 'selalu', 'berdoa', 'dalam', 'hati.agar', 'pak', '@prabowo', 'mjd', 'presiden', 'ri.saat', 'ini', 'ekonomi', 'buruk', 'pak', '.', 'sampai', '2', 'ponsel', 'sy', 'tutup', 'krn', 'ekonomi', 'masyarakat', 'carut', 'marut', '..', 'dn', 'ketika', 'menjadi', 'presiden', 'nanti', 'tolong', 'perbaiki', 'ekonomi', 'masyarakat', 'pak', '..', 'wslm', '02', 'dihati', '.']","['berdoa', 'hati.agar', '@prabowo', 'mjd', 'presiden', 'ri.saat', 'ekonomi', 'buruk', '.', '2', 'ponsel', 'sy', 'tutup', 'krn', 'ekonomi', 'masyarakat', 'carut', 'marut', '..', 'dn', 'presiden', 'tolong', 'perbaiki', 'ekonomi', 'masyarakat', '..', 'wslm', '02', 'dihati', '.']","['doa', 'hati agar', 'prabowo', 'mjd', 'presiden', 'ri saat', 'ekonomi', 'buruk', '', '2', 'ponsel', 'sy', 'tutup', 'krn', 'ekonomi', 'masyarakat', 'carut', 'marut', '', 'dn', 'presiden', 'tolong', 'baik', 'ekonomi', 'masyarakat', '', 'wslm', '02', 'hati', '']",doa hati agar prabowo mjd presiden ri saat ekonomi buruk  2 ponsel sy tutup krn ekonomi masyarakat carut marut  dn presiden tolong baik ekonomi masyarakat  wslm 02 hati 
netral,presiden jokowi  raja salman sepakat tingkatkan kerja sama ekonomi  ,"['presiden', 'jokowi', '-', 'raja', 'salman', 'sepakat', 'tingkatkan', 'kerja', 'sama', 'ekonomi', 'https://jatim.sindonews.com/read/9583/1/presiden-jokowi-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-1555254249?utm_source=dlvr.it&utm_medium=referralâ', 'â', '€', '¦']","['presiden', 'jokowi', '-', 'raja', 'salman', 'sepakat', 'tingkatkan', 'kerja', 'ekonomi', 'https://jatim.sindonews.com/read/9583/1/presiden-jokowi-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-1555254249?utm_source=dlvr.it&utm_medium=referralâ', 'â', '€', '¦']","['presiden', 'jokowi', '-', 'raja', 'salman', 'sepakat', 'tingkat', 'kerja', 'ekonomi', 'https jatim sindonews com read 9583 1 presiden-jokowi-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-1555254249 utm source dlvr it utm medium referral', '', '', '']",presiden jokowi - raja salman sepakat tingkat kerja ekonomi https jatim sindonews com read 9583 1 presiden-jokowi-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-1555254249 utm source dlvr it utm medium referral   
negatif,media asing yg mana ayo tunjukkan yg mana jgn cuma beranganangan lantas menabur fitnah  aku udah jijik dgn kebohongan dan kesombongan kau    dibanding  kau tidak ada apaapanya  samasama makan gaji dari pembayar pajak tapi kau banyak tidurnya,"['media', 'asing', 'yg', 'mana', '?', '!', 'ayo', 'tunjukkan', ',', 'yg', 'mana', '?', '!', 'jgn', 'cuma', 'berangan-angan', 'lantas', 'menabur', 'fitnah', '?', '!', 'aku', 'udah', 'jijik', 'dgn', 'kebohongan', 'dan', 'kesombongan', 'kau', '@fahrihamzah', '!', '!', '!', 'dibanding', '@jokowi', 'kau', 'tidak', 'ada', 'apa-apanya', '!', '!', 'sama-sama', 'makan', 'gaji', 'dari', 'pembayar', 'pajak', ',', 'tapi', 'kau', 'banyak', 'tidurnya', '!', '!']","['media', 'asing', 'yg', '?', '!', 'ayo', 'tunjukkan', ',', 'yg', '?', '!', 'jgn', 'berangan-angan', 'lantas', 'menabur', 'fitnah', '?', '!', 'udah', 'jijik', 'dgn', 'kebohongan', 'kesombongan', 'kau', '@fahrihamzah', '!', '!', '!', 'dibanding', '@jokowi', 'kau', 'apa-apanya', '!', '!', 'makan', 'gaji', 'pembayar', 'pajak', ',', 'kau', 'tidurnya', '!', '!']","['media', 'asing', 'yg', '', '', 'ayo', 'tunjuk', '', 'yg', '', '', 'jgn', 'berangan-angan', 'lantas', 'tabur', 'fitnah', '', '', 'udah', 'jijik', 'dgn', 'bohong', 'sombong', 'kau', 'fahrihamzah', '', '', '', 'banding', 'jokowi', 'kau', 'apa', '', '', 'makan', 'gaji', 'bayar', 'pajak', '', 'kau', 'tidur', '', '']",media asing yg   ayo tunjuk  yg   jgn berangan-angan lantas tabur fitnah   udah jijik dgn bohong sombong kau fahrihamzah    banding jokowi kau apa   makan gaji bayar pajak  kau tidur  
netral,jgn  anda dpt harga rb karena itu toko abang anda,"['jgn', '""', 'anda', 'dpt', 'harga', '16rb', 'karena', 'itu', 'toko', 'abang', 'andaðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚']","['jgn', '""', 'dpt', 'harga', '16rb', 'toko', 'abang', 'andaðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚']","['jgn', '', 'dpt', 'harga', '16rb', 'toko', 'abang', 'anda', '', '', '', '', '', '', '', '']",jgn  dpt harga 16rb toko abang anda        
negatif,kualitas obama sama wowo ya kayak langit samacomberan lahobama ngga pernah bermasalah dalam karier lah kalo wowo di pecat trus gaji karyawan ngga dibayarwowo sama lurah ada belum tentu lebih pinterjokowi udah jd pejabat berpengalaman makanya bisa jd presidenbangun pret,"['kualitas', 'obama', 'sama', 'wowo', 'ya', 'kayak', 'langit', 'sama.comberan', 'lah', '...', 'obama', 'ngga', 'pernah', 'bermasalah', 'dalam', 'karier', 'lah', 'kalo', 'wowo', 'di', 'pecat', 'trus', 'gaji', 'karyawan', 'ngga', 'dibayar', '..', 'wowo', 'sama', 'lurah', 'ada', 'belum', 'tentu', 'lebih', 'pinter', '..', 'jokowi', 'udah', 'jd', 'pejabat', 'berpengalaman', 'makanya', 'bisa', 'jd', 'presiden', '...', 'bangun', 'pret']","['kualitas', 'obama', 'wowo', 'ya', 'kayak', 'langit', 'sama.comberan', '...', 'obama', 'ngga', 'bermasalah', 'karier', 'kalo', 'wowo', 'pecat', 'trus', 'gaji', 'karyawan', 'ngga', 'dibayar', '..', 'wowo', 'lurah', 'pinter', '..', 'jokowi', 'udah', 'jd', 'pejabat', 'berpengalaman', 'jd', 'presiden', '...', 'bangun', 'pret']","['kualitas', 'obama', 'wowo', 'ya', 'kayak', 'langit', 'sama comberan', '', 'obama', 'ngga', 'masalah', 'karier', 'kalo', 'wowo', 'pecat', 'trus', 'gaji', 'karyawan', 'ngga', 'bayar', '', 'wowo', 'lurah', 'pinter', '', 'jokowi', 'udah', 'jd', 'jabat', 'alam', 'jd', 'presiden', '', 'bangun', 'pret']",kualitas obama wowo ya kayak langit sama comberan  obama ngga masalah karier kalo wowo pecat trus gaji karyawan ngga bayar  wowo lurah pinter  jokowi udah jd jabat alam jd presiden  bangun pret
netral,harga rb untuk konsumen atau pemakai pribadi  kalau untuk pedagang jatuhnya rbtabung,"['harga', '18rb', ',', ',', 'untuk', 'konsumen', 'atau', 'pemakai', 'pribadi', '...', 'kalau', 'untuk', 'pedagang', ',', 'jatuhnya', '16rb', '/', 'tabung']","['harga', '18rb', ',', ',', 'konsumen', 'pemakai', 'pribadi', '...', 'pedagang', ',', 'jatuhnya', '16rb', '/', 'tabung']","['harga', '18rb', '', '', 'konsumen', 'pakai', 'pribadi', '', 'dagang', '', 'jatuh', '16rb', '', 'tabung']",harga 18rb   konsumen pakai pribadi  dagang  jatuh 16rb  tabung
netral,uasdifitnahkejidanbrutal tapi   siap sodaqohkan gaji nya ,"['#uasdifitnahkejidanbrutal', 'tapi', '@prabowo', '@sandiuno', 'siap', 'sodaqohkan', 'gaji', 'nyaðÿ', '˜', '\xad', 'https://twitter.com/bangsjahrir/status/1117430313909493760â', 'â', '€', '¦']","['#uasdifitnahkejidanbrutal', '@prabowo', '@sandiuno', 'sodaqohkan', 'gaji', 'nyaðÿ', '˜', '\xad', 'https://twitter.com/bangsjahrir/status/1117430313909493760â', 'â', '€', '¦']","['uasdifitnahkejidanbrutal', 'prabowo', 'sandiuno', 'sodaqohkan', 'gaji', 'nya', '', '', 'https twitter com bangsjahrir status 1117430313909493760', '', '', '']",uasdifitnahkejidanbrutal prabowo sandiuno sodaqohkan gaji nya   https twitter com bangsjahrir status 1117430313909493760   
netral,jokowijelasislamnya pilihorangbaik coblosyangbajuputih bantenjokowiamin banten pengalaman  dalam ekonomi sudah malang merintang yakni dengan mendirikan koperasi baitul mal wa tamwil bmt sejenis koperasi syariah   pictwittercomhqusxmadi,"['#jokowijelasislamnya', '#pilihorangbaik', '#coblosyangbajuputih', '#bantenjokowiamin', '#banten01', 'pengalaman', '@khmarufamin_', 'dalam', 'ekonomi', 'sudah', 'malang', 'merintang', '.', 'yakni', 'dengan', 'mendirikan', 'koperasi', ',', 'baitul', 'mal', 'wa', 'tamwil', '(', 'bmt', ')', 'sejenis', 'koperasi', 'syariah', '.', '@jokowi', 'pic.twitter.com/0hqusxmadi']","['#jokowijelasislamnya', '#pilihorangbaik', '#coblosyangbajuputih', '#bantenjokowiamin', '#banten01', 'pengalaman', '@khmarufamin_', 'ekonomi', 'malang', 'merintang', '.', 'mendirikan', 'koperasi', ',', 'baitul', 'mal', 'wa', 'tamwil', '(', 'bmt', ')', 'sejenis', 'koperasi', 'syariah', '.', '@jokowi', 'pic.twitter.com/0hqusxmadi']","['jokowijelasislamnya', 'pilihorangbaik', 'coblosyangbajuputih', 'bantenjokowiamin', 'banten01', 'alam', 'khmarufamin', 'ekonomi', 'malang', 'rintang', '', 'diri', 'koperasi', '', 'baitul', 'mal', 'wa', 'tamwil', '', 'bmt', '', 'jenis', 'koperasi', 'syariah', '', 'jokowi', 'pic twitter com 0hqusxmadi']",jokowijelasislamnya pilihorangbaik coblosyangbajuputih bantenjokowiamin banten01 alam khmarufamin ekonomi malang rintang  diri koperasi  baitul mal wa tamwil  bmt  jenis koperasi syariah  jokowi pic twitter com 0hqusxmadi
netral,charles honoris jokowi bangun indonesia lewat ekonomi kreatif  ,"['charles', 'honoris', ',', 'jokowi', 'bangun', 'indonesia', 'lewat', 'ekonomi', 'kreatif', ':', 'http://bit.ly/1skexybâ']","['charles', 'honoris', ',', 'jokowi', 'bangun', 'indonesia', 'ekonomi', 'kreatif', ':', 'http://bit.ly/1skexybâ']","['charles', 'honor', '', 'jokowi', 'bangun', 'indonesia', 'ekonomi', 'kreatif', '', 'http bit ly 1skexyb']",charles honor  jokowi bangun indonesia ekonomi kreatif  http bit ly 1skexyb
netral,presiden  dan raja salman menggelar pertemuan bilateral di istana pribadi raja alqasr alkhas minggu  sore dalam pertemuan yang berlangsung selepas jamuan santap siang itu keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi foto dan berita bpmi  pictwittercomjrxibsbz,"['presiden', '@jokowi', 'dan', 'raja', 'salman', 'menggelar', 'pertemuan', 'bilateral', 'di', 'istana', 'pribadi', 'raja', '(', 'al-qasr', 'al-khas', ')', ',', 'minggu', '(', '14/4', ')', 'sore', '.', 'dalam', 'pertemuan', 'yang', 'berlangsung', 'selepas', 'jamuan', 'santap', 'siang', 'itu', ',', 'keduanya', 'sepakat', 'akan', 'meningkatkan', 'kerja', 'sama', 'di', 'bidang', 'ekonomi', '.', '(', 'foto', 'dan', 'berita', ':', 'bpmi', ')', 'pic.twitter.com/68jrxibsbz']","['presiden', '@jokowi', 'raja', 'salman', 'menggelar', 'pertemuan', 'bilateral', 'istana', 'pribadi', 'raja', '(', 'al-qasr', 'al-khas', ')', ',', 'minggu', '(', '14/4', ')', 'sore', '.', 'pertemuan', 'selepas', 'jamuan', 'santap', 'siang', ',', 'sepakat', 'meningkatkan', 'kerja', 'bidang', 'ekonomi', '.', '(', 'foto', 'berita', ':', 'bpmi', ')', 'pic.twitter.com/68jrxibsbz']","['presiden', 'jokowi', 'raja', 'salman', 'gelar', 'temu', 'bilateral', 'istana', 'pribadi', 'raja', '', 'al-qasr', 'al-khas', '', '', 'minggu', '', '14 4', '', 'sore', '', 'temu', 'lepas', 'jamu', 'santap', 'siang', '', 'sepakat', 'tingkat', 'kerja', 'bidang', 'ekonomi', '', '', 'foto', 'berita', '', 'bpmi', '', 'pic twitter com 68jrxibsbz']",presiden jokowi raja salman gelar temu bilateral istana pribadi raja  al-qasr al-khas   minggu  14 4  sore  temu lepas jamu santap siang  sepakat tingkat kerja bidang ekonomi   foto berita  bpmi  pic twitter com 68jrxibsbz
netral,tp kenapa  fokus akan hal begitu  unicorn lah dll tidak selama nya dunia digital baik  contoh ecomerce  memamg harga lebih murah tapi memutus mata rantai distribusi sehinga distributor bisa menjual langsung barg sehingga masarakat tdk dpt kebagaian keutungan sbgai pengecer   ,"['tp', 'kenapa', 'fokus', 'akan', 'hal', 'begitu', 'unicorn', 'lah', 'dll', 'tidak', 'selama', 'nya', 'dunia', 'digital', 'baik', 'contoh', 'ecomerce', 'memamg', 'harga', 'lebih', 'murah', 'tapi', 'memutus', 'mata', 'rantai', 'distribusi', 'sehinga', 'distributor', 'bisa', 'menjual', 'langsung', 'barg', 'sehingga', 'masarakat', 'tdk', 'dpt', 'kebagaian', 'keutungan', 'sbgai', 'pengecer', ':/']","['tp', 'fokus', 'unicorn', 'dll', 'nya', 'dunia', 'digital', 'contoh', 'ecomerce', 'memamg', 'harga', 'murah', 'memutus', 'mata', 'rantai', 'distribusi', 'sehinga', 'distributor', 'menjual', 'langsung', 'barg', 'masarakat', 'tdk', 'dpt', 'kebagaian', 'keutungan', 'sbgai', 'pengecer', ':/']","['tp', 'fokus', 'unicorn', 'dll', 'nya', 'dunia', 'digital', 'contoh', 'ecomerce', 'memamg', 'harga', 'murah', 'putus', 'mata', 'rantai', 'distribusi', 'sehinga', 'distributor', 'jual', 'langsung', 'barg', 'masarakat', 'tdk', 'dpt', 'bagai', 'keutungan', 'sbgai', 'ecer', '']",tp fokus unicorn dll nya dunia digital contoh ecomerce memamg harga murah putus mata rantai distribusi sehinga distributor jual langsung barg masarakat tdk dpt bagai keutungan sbgai ecer 
netral,prabowosandi kembali tegaskan tidak akan ambil gaji bila terpilih  ,"['prabowo-sandi', 'kembali', 'tegaskan', 'tidak', 'akan', 'ambil', 'gaji', 'bila', 'terpilih', 'https://politik.rmol.co/read/2019/04/13/385982/prabowo-sandi-kembali-tegaskan-tidak-akan-ambil-gaji-bila-terpilih-â', 'â', '€', '¦']","['prabowo-sandi', 'tegaskan', 'ambil', 'gaji', 'terpilih', 'https://politik.rmol.co/read/2019/04/13/385982/prabowo-sandi-kembali-tegaskan-tidak-akan-ambil-gaji-bila-terpilih-â', 'â', '€', '¦']","['prabowo-sandi', 'tegas', 'ambil', 'gaji', 'pilih', 'https politik rmol co read 2019 04 13 385982 prabowo-sandi-kembali-tegaskan-tidak-akan-ambil-gaji-bila-terpilih-', '', '', '']",prabowo-sandi tegas ambil gaji pilih https politik rmol co read 2019 04 13 385982 prabowo-sandi-kembali-tegaskan-tidak-akan-ambil-gaji-bila-terpilih-   
netral,jika terpilih prabowosandiaga janji tak ambil gaji  ,"['jika', 'terpilih', ',', 'prabowo-sandiaga', 'janji', 'tak', 'ambil', 'gaji', 'https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiâ', 'â', '€', '¦']","['terpilih', ',', 'prabowo-sandiaga', 'janji', 'ambil', 'gaji', 'https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiâ', 'â', '€', '¦']","['pilih', '', 'prabowo-sandiaga', 'janji', 'ambil', 'gaji', 'https m detik com news berita d-4509616 jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji', '', '', '']",pilih  prabowo-sandiaga janji ambil gaji https m detik com news berita d-4509616 jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji   
positif,kalo mau listrik turun kalo mau harga terjangkau kalo mau pelayanan bpjs baik kalo mau honorer lebih baik  dll maka april tusuk prabowo sandi tps  closingstatement debatpilpres,"['kalo', 'mau', 'listrik', 'turun', ',', 'kalo', 'mau', 'harga', 'terjangkau', ',', 'kalo', 'mau', 'pelayanan', 'bpjs', 'baik', ',', 'kalo', 'mau', 'honorer', 'lebih', 'baik', 'dll', 'maka', '#17april2019', 'tusuk', 'prabowo', 'sandi', '(', 'tps', ')', '.', '#closingstatement', '#debat5pilpres2019']","['kalo', 'listrik', 'turun', ',', 'kalo', 'harga', 'terjangkau', ',', 'kalo', 'pelayanan', 'bpjs', ',', 'kalo', 'honorer', 'dll', '#17april2019', 'tusuk', 'prabowo', 'sandi', '(', 'tps', ')', '.', '#closingstatement', '#debat5pilpres2019']","['kalo', 'listrik', 'turun', '', 'kalo', 'harga', 'jangkau', '', 'kalo', 'layan', 'bpjs', '', 'kalo', 'honorer', 'dll', '17april2019', 'tusuk', 'prabowo', 'sandi', '', 'tps', '', '', 'closingstatement', 'debat5pilpres2019']",kalo listrik turun  kalo harga jangkau  kalo layan bpjs  kalo honorer dll 17april2019 tusuk prabowo sandi  tps   closingstatement debat5pilpres2019
netral,penutup debat pamungkas ala prabowosandi jika diberi mandat nanti seperserpun gaji tidak akan mereka ambil   ,"['penutup', 'debat', 'pamungkas', 'ala', 'prabowo-sandi', '.', 'jika', 'diberi', 'mandat', 'nanti', 'seperserpun', 'gaji', 'tidak', 'akan', 'mereka', 'ambil', 'ðÿ', '˜', '\xad', 'https://www.facebook.com/roy11.97/videos/993285917541989/â', 'â', '€', '¦']","['penutup', 'debat', 'pamungkas', 'ala', 'prabowo-sandi', '.', 'mandat', 'seperserpun', 'gaji', 'ambil', 'ðÿ', '˜', '\xad', 'https://www.facebook.com/roy11.97/videos/993285917541989/â', 'â', '€', '¦']","['tutup', 'debat', 'pamungkas', 'ala', 'prabowo-sandi', '', 'mandat', 'seperserpun', 'gaji', 'ambil', '', '', '', 'https www facebook com roy11 97 videos 993285917541989', '', '', '']",tutup debat pamungkas ala prabowo-sandi  mandat seperserpun gaji ambil    https www facebook com roy11 97 videos 993285917541989   
negatif,utang prabowo bwjibun  bukan utng ln lho utang pribadinya puluhan triltun jd gaji ngk diambilbusyeettt  jngn utang bebas ngk dibayar jemarin sdh minta dipailitkan biar ngk bayar  tp pemerintah ngk mau  mk bwrambiai mengumbar janji  ,"['utang', 'prabowo', 'bwjibun', '..', 'bukan', 'utng', 'ln', 'lho', 'utang', 'pribadinya', 'puluhan', 'triltun', 'jd', 'gaji', 'ngk', 'diambil', '...', 'busyeettt', 'jngn', '2', 'utang', 'bebas', 'ngk', 'dibayar', 'jemarin', '2', 'sdh', 'minta', 'dipailitkan', 'biar', 'ngk', 'bayar', 'tp', 'pemerintah', 'ngk', 'mau', 'mk', 'bwrambiai', 'mengumbar', 'janji', 'https://twitter.com/detikcom/status/1117096276737306625â', 'â', '€', '¦']","['utang', 'prabowo', 'bwjibun', '..', 'utng', 'ln', 'lho', 'utang', 'pribadinya', 'puluhan', 'triltun', 'jd', 'gaji', 'ngk', 'diambil', '...', 'busyeettt', 'jngn', '2', 'utang', 'bebas', 'ngk', 'dibayar', 'jemarin', '2', 'sdh', 'dipailitkan', 'biar', 'ngk', 'bayar', 'tp', 'pemerintah', 'ngk', 'mk', 'bwrambiai', 'mengumbar', 'janji', 'https://twitter.com/detikcom/status/1117096276737306625â', 'â', '€', '¦']","['utang', 'prabowo', 'bwjibun', '', 'utng', 'ln', 'lho', 'utang', 'pribadi', 'puluh', 'triltun', 'jd', 'gaji', 'ngk', 'ambil', '', 'busyeettt', 'jngn', '2', 'utang', 'bebas', 'ngk', 'bayar', 'jemarin', '2', 'sdh', 'pailit', 'biar', 'ngk', 'bayar', 'tp', 'perintah', 'ngk', 'mk', 'bwrambiai', 'umbar', 'janji', 'https twitter com detikcom status 1117096276737306625', '', '', '']",utang prabowo bwjibun  utng ln lho utang pribadi puluh triltun jd gaji ngk ambil  busyeettt jngn 2 utang bebas ngk bayar jemarin 2 sdh pailit biar ngk bayar tp perintah ngk mk bwrambiai umbar janji https twitter com detikcom status 1117096276737306625   
negatif,jangan berharap banyak terhadap prabowo untuk saling memahami ataupun menghargai sesama koalisi bahkan surat kesepakatan untuk menjadikan ahy sebagai cawapres diingkari apalagi terhadap rakyat tidak ada kawan dalam politik yang ada kepentingan sesaat selamatkannkri,"['jangan', 'berharap', 'banyak', 'terhadap', 'prabowo', 'untuk', 'saling', 'memahami', 'ataupun', 'menghargai', 'sesama', 'koalisi', ',', 'bahkan', 'surat', 'kesepakatan', 'untuk', 'menjadikan', 'ahy', 'sebagai', 'cawapres', 'diingkari', ',', 'apalagi', 'terhadap', 'rakyat', ',', 'tidak', 'ada', 'kawan', 'dalam', 'politik', ',', 'yang', 'ada', 'kepentingan', 'sesaat', ',', '#selamatkannkri']","['berharap', 'prabowo', 'memahami', 'menghargai', 'koalisi', ',', 'surat', 'kesepakatan', 'menjadikan', 'ahy', 'cawapres', 'diingkari', ',', 'rakyat', ',', 'kawan', 'politik', ',', 'kepentingan', ',', '#selamatkannkri']","['harap', 'prabowo', 'paham', 'harga', 'koalisi', '', 'surat', 'sepakat', 'jadi', 'ahy', 'cawapres', 'ingkar', '', 'rakyat', '', 'kawan', 'politik', '', 'penting', '', 'selamatkannkri']",harap prabowo paham harga koalisi  surat sepakat jadi ahy cawapres ingkar  rakyat  kawan politik  penting  selamatkannkri
negatif,pakai uang pajak atw uang pribadi pak kok anak bini diajak segala,"['pakai', 'uang', 'pajak', 'atw', 'uang', 'pribadi', 'pak', '.', '?', 'kok', 'anak', 'bini', 'diajak', 'segala', '.', '?']","['pakai', 'uang', 'pajak', 'atw', 'uang', 'pribadi', '.', '?', 'anak', 'bini', 'diajak', '.', '?']","['pakai', 'uang', 'pajak', 'atw', 'uang', 'pribadi', '', '', 'anak', 'bini', 'ajak', '', '']",pakai uang pajak atw uang pribadi   anak bini ajak  
netral,mas di samping toko saya pangkalan gas punya agen untuk satu kmpung dan kuota di batasinharga udah tertera di nomor registrasi pangkalanya  tbg jadi agen itu gk bsa mainkn harga lagi apalagi jal ke penjual lg krn kuota trbatas,"['mas', 'di', 'samping', 'toko', 'saya', 'pangkalan', 'gas', 'punya', 'agen', 'untuk', 'satu', 'kmpung', 'dan', 'kuota', 'di', 'batasin', ',', 'harga', 'udah', 'tertera', 'di', 'nomor', 'registrasi', 'pangkalanya', '@18rb', '/', 'tbg', 'jadi', 'agen', 'itu', 'gk', 'bã', '¬', 'sa', 'mainkn', 'harga', 'lagi', 'apalagi', 'jã', '¼', 'al', 'ke', 'penjual', 'lg', 'krn', 'kuota', 'trbatasðÿ', '˜', '‚', ',']","['mas', 'samping', 'toko', 'pangkalan', 'gas', 'agen', 'kmpung', 'kuota', 'batasin', ',', 'harga', 'udah', 'tertera', 'nomor', 'registrasi', 'pangkalanya', '@18rb', '/', 'tbg', 'agen', 'gk', 'bã', '¬', 'sa', 'mainkn', 'harga', 'jã', '¼', 'al', 'penjual', 'lg', 'krn', 'kuota', 'trbatasðÿ', '˜', '‚', ',']","['mas', 'samping', 'toko', 'pangkal', 'gas', 'agen', 'kmpung', 'kuota', 'batasin', '', 'harga', 'udah', 'tera', 'nomor', 'registrasi', 'pangkalanya', '18rb', '', 'tbg', 'agen', 'gk', 'b', '', 'sa', 'mainkn', 'harga', 'j', '', 'al', 'jual', 'lg', 'krn', 'kuota', 'trbatas', '', '', '']",mas samping toko pangkal gas agen kmpung kuota batasin  harga udah tera nomor registrasi pangkalanya 18rb  tbg agen gk b  sa mainkn harga j  al jual lg krn kuota trbatas   
positif,yang janjinya mau ngehapusin pajak  malah bikin hutang negara nambah lho mbak  adanya pajak itu buat negara lho ,"['yang', 'janjinya', 'mau', 'ngehapusin', 'pajak', ',', 'malah', 'bikin', 'hutang', 'negara', 'nambah', 'lho', 'mbak', ',', 'adanya', 'pajak', 'itu', 'buat', 'negara', 'lho', ':)']","['janjinya', 'ngehapusin', 'pajak', ',', 'bikin', 'hutang', 'negara', 'nambah', 'lho', 'mbak', ',', 'pajak', 'negara', 'lho', ':)']","['janji', 'ngehapusin', 'pajak', '', 'bikin', 'hutang', 'negara', 'nambah', 'lho', 'mbak', '', 'pajak', 'negara', 'lho', '']",janji ngehapusin pajak  bikin hutang negara nambah lho mbak  pajak negara lho 
netral,jokowi dan raja salman sepakati kerja sama di bidang ekonomi  ,"['jokowi', 'dan', 'raja', 'salman', 'sepakati', 'kerja', 'sama', 'di', 'bidang', 'ekonomi', 'https://www.gardaindonews.com/jokowi-dan-raja-salman-sepakati-kerja-sama-di-bidang-ekonomi/â', 'â', '€', '¦']","['jokowi', 'raja', 'salman', 'sepakati', 'kerja', 'bidang', 'ekonomi', 'https://www.gardaindonews.com/jokowi-dan-raja-salman-sepakati-kerja-sama-di-bidang-ekonomi/â', 'â', '€', '¦']","['jokowi', 'raja', 'salman', 'sepakat', 'kerja', 'bidang', 'ekonomi', 'https www gardaindonews com jokowi-dan-raja-salman-sepakati-kerja-sama-di-bidang-ekonomi', '', '', '']",jokowi raja salman sepakat kerja bidang ekonomi https www gardaindonews com jokowi-dan-raja-salman-sepakati-kerja-sama-di-bidang-ekonomi   
positif,ijin menyampaikan bang aspirasi teman saya di desanya penghasilan utama berasal dari lada  merica semenjak rezim ini berkuasa harga lada jadi murah mereka berharap ketika prabowo sandi berkuasa bisa mengstabilkan harga,"['ijin', 'menyampaikan', 'bang', ',', 'aspirasi', 'teman', 'saya', ',', 'di', 'desanya', 'penghasilan', 'utama', 'berasal', 'dari', 'lada', '/', 'merica', ',', 'semenjak', 'rezim', 'ini', 'berkuasa', ',', 'harga', 'lada', 'jadi', 'murah', ',', 'mereka', 'berharap', 'ketika', 'prabowo', 'sandi', 'berkuasa', ',', 'bisa', 'mengstabilkan', 'harga', '.']","['ijin', 'bang', ',', 'aspirasi', 'teman', ',', 'desanya', 'penghasilan', 'utama', 'berasal', 'lada', '/', 'merica', ',', 'semenjak', 'rezim', 'berkuasa', ',', 'harga', 'lada', 'murah', ',', 'berharap', 'prabowo', 'sandi', 'berkuasa', ',', 'mengstabilkan', 'harga', '.']","['ijin', 'bang', '', 'aspirasi', 'teman', '', 'desa', 'hasil', 'utama', 'asal', 'lada', '', 'merica', '', 'semenjak', 'rezim', 'kuasa', '', 'harga', 'lada', 'murah', '', 'harap', 'prabowo', 'sandi', 'kuasa', '', 'mengstabilkan', 'harga', '']",ijin bang  aspirasi teman  desa hasil utama asal lada  merica  semenjak rezim kuasa  harga lada murah  harap prabowo sandi kuasa  mengstabilkan harga 
